Word,Score
R IY T L T UW IY T ,4.81
EH L AY D AA B IY M ,0
T OW S M AO D IY CH ,0
JH UW S ER L AO G UW ,0
DH EH L ER G AH B AH ,0
AA S P AE N EH F T ,0
Z AY V ER AY P OW V ,0
ER F IY S EH M R AE ,2.74
ER N AA Z EH Z M ER ,0
W ER S AA TH IY G AE ,0
DH EH TH N AH CH UW K ,2.504
ER AE M P EH CH IH S ,0
IH S ER B L EY K AW ,0
AE P AY OW SH ER IH F ,2.281
Y ER IY G N SH IY N ,0
T EY G ER G OY IH T ,0
K OY AE B AH K R EY ,0
G AE F T IY JH IY D ,0
ER P AO D IY D ER AH ,0
DH IY B JH IY AH T UW ,0
K IH M AY AH T AA K ,0
DH IH TH R S W AE D ,0
F L V AH D L UW L ,0
B IY ER K AE V EH SH ,0
ER P EY L AA S IY CH ,0
OW G UW N UW B AE Z ,2.568
HH UW IH JH EH L T ER ,0
T UW EH Z EH M EH T ,0
D UH D R K CH IH M ,0
Z IH L T IY DH EH F ,0
AH CH EH Z AA M EH SH ,0
EY AA L AY B S K T ,4.076
P AY K L IH B ER TH ,0
B AA M IY Z L ER V ,0
AA B AO P TH W OW P ,8.09
P UH K EH T AY B AE ,0
IH NG K AA CH UW G IY ,0
F IY G AE B EH B AW ,0
TH UW F AE SH IY AH D ,2.325
G EH D R EY S N OW ,0
V AY K T AY R T OW ,0
CH AA F EY L S EY OW ,2.092
AA B AE TH IH TH AE T ,3.101
S OW M F EH TH IY K ,0
T AE DH AH D M AA B ,0
AE T AE R V IH B AW ,1.909
G ER N AE N D EH CH ,0
K IY Z IH S TH EH V ,2.337
W IY B IY EH M ER AY ,2.567
AE G L SH IY K ER OY ,0
EH P UW L IH Z EY Z ,0
S OY AH S AA JH UH R ,0
K ER F EY W OW L EY ,3.161
F ER AH P R B ER IY ,0
L EH R UW G D AA N ,3.383
AA R B IY ER AA P OY ,0
IH K OY K IY V EH T ,0
EH B IY OW SH AA S AH ,0
D IY ER SH AA D AY P ,0
IY V EY N ER S AY P ,0
Y EH G AE D ER D ER ,0
S M EY D OW V IY M ,0
OW N IH S AH P AO T ,0
T IH TH EH G AE DH IY ,0
ER B AW AH M P IH NG ,0
IY M AY ER S M AH K ,0
D UW EH T ER M IH M ,0
AY T IY G OW P L AE ,0
OW M F IH K AW N OW ,0
S L K N EH D R N ,0
L AY R F IH L EH F ,0
T IY V AO L JH OY D ,0
EY K SH UW L V AA Z ,2.194
CH EH N IY EH N ER IY ,0
T OW T OW N ER F ER ,0
AE NG G EH M V AE CH ,0
G IY S IY L AO N D ,0
B UW AH G EH TH IY G ,0
G ER OY ER S B L AW ,4.754
ER N TH ER EY K EH N ,0
OW K AA SH AE TH R OY ,2.568
AH K L K AH Z IY R ,2.417
V ER S W ER JH ER TH ,0
L IH R B IY AH N S ,0
HH IH K CH ER AW S AE ,2.423
K ER JH UW B AH P UW ,0
V ER AY K EH JH EH S ,0
B ER EH TH EH DH IY V ,0
HH IH D L EH JH AA B ,0
B AE D R AH K M IY ,0
AH N CH AA F AA T AW ,2.552
F L EY S IH CH EH G ,0
JH OY K W AE SH IH DH ,0
EH S M AE V EY D ER ,0
IH K AA R M UW Y ER ,4.737
W IY EY N S CH UH K ,0
P R OW D AH D AO R ,0
S EY B EH P IY ER B ,0
EH M OW M OW B ER M ,0
Z UW T R AW ER F ER ,1.952
SH UH K S L AW Z AH ,0
AE K M F AA G ER D ,0
G EY B AO G IY SH ER ,0
AO L D AW N AY P T ,0
ER IH ZH ER K M IY K ,0
L EH V EY JH UH G IY ,0
AE F Y ER IY L ER T ,0
ER EY SH IY AA JH EH R ,0
S T IY ER V IY AA Z ,0
JH AA SH K IY F AH TH ,4.383
T AA TH L G OY L CH ,0
L AA L T ER AH L JH ,0
M ER AE B OY ER OY K ,0
N EY K S IY N ER N ,0
B IH B IH G IY OW V ,0
OW P IH JH EY B IY S ,2.152
AO R OY S P AO T AW ,2.552
JH OY AH B S F IH Z ,0
R OW G AO S P AY T ,0
ER T EY Z EH L IH F ,0
HH EY S W OW K UW N ,0
T R EH K M AY F ER ,0
T EH P AH Z AY P UW ,0
B IH L AH CH IY OW N ,0
L OW D W AE R IH V ,2.361
IH K T UW K R IH B ,0
B Y AH N IH M P AY ,0
AH F AH K AH CH EY DH ,2.152
EH D HH Y ER P R M ,3.209
G Y ER TH IY K L V ,0
L OW Z AA B EH R TH ,0
AA S K AO R AA N D ,0
L IH T ER AH P IH S ,0
EH S K R B AH L D ,0
G L G AA V AH T IY ,0
ER EH T AY CH UW G EY ,2.467
D EY SH IH R IH L UW ,0
TH IY EH CH EH R EH B ,0
W OW SH UW N Z ER TH ,2.194
T EH DH EH P R UW F ,0
F IY G ER N Z EH TH ,0
AE D R EH G N EH N ,0
B IY AA N Z M AO D ,0
P R K OY AH G N AH ,0
M AW ER AY Z EH G AH ,0
F AE B OW B S AE T ,0
AA S AO T OW B ER T ,0
D R AY R OY T AH B ,0
G EH B UW V OY AH V ,1.952
ER OY AE K S K AE JH ,0
F EH Z P T R EH K ,4.62
W ER V AH N D AO S ,0
D ER IY G OW G AW Z ,0
HH UW ER G L Z AO T ,2.126
B L EH L IY L UH T ,2.54
K AA S K R S ER K ,0
G AE L EY S P AH K ,0
OW F EH T IH CH IH L ,2.429
HH IY CH ER ZH AH B AW ,2.126
D AE R ER S L AY P ,2.393
V AY K S AY L UW P ,0
HH EY M F AH S N ER ,0
AA L IH V IY T AO T ,0
B AY L AH S F IH JH ,0
P L S W IH V ER B ,0
TH ER K N ER AY AH F ,0
HH AE NG G IY V EH L ,0
EH M AH DH R K AH NG ,0
P R G Z AE T AY Z ,0
HH UW P AE K M OW G ,0
L AH G UW AA L AA JH ,2.323
N EY S T R D EY S ,0
ER P T UH R N Z IY ,0
R IY ER P AO L K Y ,4.897
W AO Z L D OW G AE ,2.121
TH R L IY F AA ZH AH ,1.816
P UW N T EY N IH NG ,0
AH T EY K UW T AY B ,0
HH AY B IY B S AY K ,0
D AH B UW S N AY P ,0
AA S EH G EH CH AH S ,0
F EY P UW T ER AY T ,0
DH AY ER S L SH ER L ,3.118
S IH V EY V AO L IY ,0
P IY G IY JH IY CH IY ,0
D AW D IY G N AH D ,0
P IY AH P UH G ER V ,0
SH AH L EY N EH K AH ,0
Z IH L JH UW SH AE P ,0
V AA B ER F EY P S ,0
HH OW S ER OY AE K OY ,0
Z AY M B R P R OY ,0
D AE Z AA G AO L JH ,0
K IY S ER AH V IH K ,0
AA M ER EH S EH R N ,0
EH P OY IH S AO K T ,0
OW B ER D AE N D OW ,0
IH G M P L JH OW M ,2.18
M ER AA P EY S N CH ,0
AH G L OW M IH N T ,0
DH IY G Z IY B EH R ,0
JH IY B AE L T AA TH ,0
T EY P IY AE JH AE T ,0
K ER F AA M F L UW ,0
S EY B HH UW S EY V ,3.209
D R P AO S ER L AH ,0
AE R B AY N OW L AY ,0
HH AO L UW IH K AA S ,0
ER M AE M IH M AO G ,0
L AA TH IY K SH AE K ,0
ER S IH B D IY L JH ,0
AE JH IY ER F AH K OY ,0
IH G IY N IY K AO NG ,0
HH AW L UH D AO S UW ,0
R IY B D IY N IY F ,0
EY K S F R OY ER JH ,0
AA K EH DH ER B EH L ,0
IY K CH AE TH ER AA N ,0
HH EH DH R AY L IY Z ,0
D R K EY N CH AH SH ,0
T OY T AY F AY L M ,0
N UH R M Y AH JH ER ,0
JH AE L IY B UW AH TH ,0
M IH G R G AH Z AH ,0
Y AA L G UW B OW Z ,0
AO S M EY S T AY F ,0
AE G AH K R B AE M ,0
N OY AH S N EY Z ,0
AO R AE K AO T EY ,0
S AH M IH CH AE B ,0
ER AH B AE B IH B ,0
EH D L IH M OW G ,0
AH B R AW R K UW ,0
P AY S AY R AE M ,0
NG K N D AO N D ,0
N AO G N G EY L ,0
NG K ER EH N AE G ,0
R OW W AY S AA NG ,6.793
CH AA K OW D AO F ,2.564
EH K ER K R F TH ,2.337
B R K IY L AW DH ,2.453
K L K ER CH AH NG ,0
AH TH AH Z EH K UW ,0
AA TH L UW D R AW ,0
S K OY R F OY T ,3.891
IH S T AA Z AH F ,0
F EH K R T UW Z ,0
HH W AY Z AH B ER ,0
P IH DH IY N EH S ,0
N OW S AA G L IY ,0
EH T ER IY OW T OW ,0
W ER P IH JH EY V ,2.152
F EY G EY D AH L ,0
AO R AA TH L UW T ,0
HH AO R F AE R D ,0
IH T EH K T EY K ,0
R IY B EH R M OW ,0
ER L AH L IH CH IY ,0
IY K Z IY T ER V ,2.787
K EH NG G IY D OW ,1.747
ER EH TH R UW K OY ,0
IH R L EH JH IH CH ,0
M ER EH F AH L UW ,0
V AE L IY T UW M ,0
F ER N EY T AE B ,0
S EH T ER K IH B ,0
AA B IH R B AE V ,0
L EH K AW Z IH M ,0
F L SH ER IH S T ,0
Y EH N UW JH AE T ,2.117
V AY F L G IH N ,0
TH R UH L JH AA ZH ,1.816
TH ER D V AE L ER ,0
V AH CH EH P CH UW ,0
V ER D EH Z IY CH ,0
T W OW V AH F EY ,0
R UW L OY S OY D ,0
ER B AH K OW L JH ,0
G UW SH EH M IY CH ,0
IH K R P T AY AH ,0
L UH G UW T R UW ,0
K EY N AE G AO P ,2.564
AO TH L AY AE L OW ,2.453
F Y AE V EY L IY ,0
B EY SH ER N Y AH ,0
S W AY N IY ER G ,0
TH IH G AH L V IY ,0
T UW ER AH M IY Z ,0
EH M IH L IY S AE ,0
K L AE R AH P UW ,0
W OW D IY T L D ,2.111
AH L EH DH R S OW ,0
TH AH L AH F EH L ,0
CH AH D OW S UW D ,0
JH AH M ER AH M HH ,3.209
V AH V AA SH AE B ,0
K AW R EY M B OW ,0
S OW D UW N AO R ,0
M AY IY DH ER AE G ,2.885
AH P AA D AH K EY ,0
B AO K EY M AH K ,0
IH D EY T AA R AE ,0
IH G AA G R AY M ,0
SH IY EH TH ER K T ,0
OW AH CH IH ZH AH P ,3.762
IH S L F IY N AE ,3.078
S P UW SH ER L G ,4.437
N AW R IH SH IH DH ,0
T AO D M F IH N ,0
HH IH CH IH JH AH S ,0
Y UW V EH M IY B ,2.51
HH AY L OW K R AE ,0
B AY T AY N OW K ,0
V AY D V EH G EY ,0
IH K AW ER V ER D ,0
TH ER F AO K EY DH ,0
AH N JH AA Z L IY ,0
S AY R D AY K ER ,0
G IH N AH N UW Z ,0
G EH JH OY D OY L ,0
JH IH B AA Z EH D ,0
M AY F EY K ER K ,0
P R F D AA K AH ,4.754
JH AE T R AY AH S ,0
D IH JH ER CH EH M ,0
OW L JH AO N V AY ,0
D AH M Y AW N TH ,4.432
D AY S IY F T AE ,0
V AA D AE G AA R ,0
EH B ER AA Z AA G ,0
N AY M S W IH K ,2.607
HH UW Z AY F AY V ,0
B OY AE N Z L AY ,0
P L OW ZH AH G ER ,0
AO S AA R JH AA P ,0
IY K T UH R IH N ,0
SH ER M F IY ER K ,2.278
OW M IY ER L EY T ,0
IH R SH IY M AH K ,0
T OY ER L ER G UW ,0
DH OW V AO D HH ER ,10.777
ER TH M EY JH IY V ,2.325
F ER EH V OW N UW ,0
Y AE R EH S IY AH ,0
P EH P AA T AA V ,0
EY N P L S L AY ,2.526
S ER AY S L IY D ,0
AH G AA TH IH S IY ,0
W IH L AA D L UW ,0
M AA G R IY AH B ,0
CH ER P AE F Y UW ,0
SH UH D IH N AE JH ,0
P AH V AH M AH TH ,0
T AE G N ER OY Z ,0
EH T AY B UH R K ,0
M AA Z ER IY D AH ,0
JH ER P IY K T OW ,0
M EH JH IY G IH V ,0
TH R CH AA P IH T ,0
ER S ER N S AE NG ,0
IH S AH SH IY S ER ,0
TH ER AO D OY N ER ,2.423
ER AH SH IH Z AH TH ,0
ER IY V AE G W AH ,0
AA T OY AE F AY F ,2.689
ER B AE CH UW D AE ,0
EH F OY T AY L JH ,0
SH IY V R CH UW K ,0
M IY JH AA K OY T ,0
S AA G AH S AE P ,0
B L G AA G AH D ,0
ER AA K T IY ER T ,0
R AW T OY S AH F ,0
T ER P ER DH EY DH ,5.024
EH D AO T IY JH OY ,0
EH T R AA L AA G ,0
D OY L K SH IY AH ,0
AY L K UW N T OW ,2.321
V AY AH S AH K S ,0
AO D R AW N OW K ,1.938
AH V IH S N IY ER ,0
N AH G OW K R M ,0
ER SH AY ER M EH TH ,2.562
P R AW ER OY ER D ,0
G R OW B AE L AW ,0
B IH R AH V AH T ,0
AA NG T UW AH G OY ,2.561
T AH F OW L AO T ,0
N UW T AH T OW L ,0
F EH ZH AH L IY P ,0
DH IH CH AE JH EH F ,0
M OW B OW V AA R ,0
W IH Z AO L K IY ,0
T UW P R OY N D ,0
F IY V AA JH AH CH ,0
DH IH S OY T IH P ,0
EH T UW AH K OY T ,0
R OY ER M IY EY V ,0
V AY B AH Z AA V ,0
AA S AY JH AH T AH ,0
IH G IH B AO L AE ,0
B AH S F R IY CH ,0
AE R M AW S OY ER ,0
CH IH D EY T AA D ,0
W OW P AE JH AA N ,0
Z AY L EH T IY D ,0
JH AA TH IH P AO L ,0
HH IY M B L AH T ,0
F UW EH K R IH V ,2.434
L AW L S F EY JH ,0
S K AH K SH EH JH ,0
V AY S M ER B OW ,0
AE M AA D AY L AH ,0
Y UW SH AA L EH JH ,0
AO R G AH CH ER JH ,0
T IY EY P CH IY OW ,0
S IH R B AE B IY ,0
R OW M EH SH IH DH ,0
EH N T AO T EH P ,0
R UH SH ER K ER B ,0
IH N F Y AO L IY ,0
Z AE B N AA DH IY ,4.592
G L K AE L IH DH ,0
S T R IH N EH B ,0
HH UW K IY S AY F ,0
R AE L K W IY M ,0
K IY L IH DH R TH ,0
JH ER EH N F R K ,0
AE G AW N B D IY ,4.028
D OY IH L AY AE G ,0
NG K W IH V IY OW ,0
M AY S L N V ER ,2.74
N AA G AE V AE F ,0
S M P L IH P AE ,0
F L T R G OW V ,0
B UH R AY B AA L ,0
IH T W ER AY K EY ,0
V AE CH AE S L F ,0
HH ER AA R SH IY CH ,0
D EH SH AE S OW Z ,0
JH AO K ER G UW M ,0
Y EH SH AH F EY Z ,0
G R L ER EY N JH ,0
AO R AY AH B EH R ,0
F L P ER AW N S ,4.949
F OW V ER F L ER ,0
T AA G OW P UW P ,0
AH S AE K AH V AO ,3.635
G OW P L AY F AH ,2.064
AY S T AH K L EY ,0
HH OW P Y IY AH CH ,2.154
SH AE T IY JH EH M ,0
JH IH R EH F ER N ,0
N AW ER G AH D OW ,0
IH N CH AA Z ER ER ,3.306
EY K AO G AA L AE ,0
S M V AY S L OW ,0
AA F R EH B UH D ,0
V AE F OY T AE SH ,0
S EY K AE L OY Z ,0
Z AY T IH T AO N ,0
EY N IY N ER B AE ,0
AY D ER JH OY N JH ,0
T IY D IY ER AA N ,0
T OW K AO G IY JH ,0
G EH N UW K SH ER ,0
F EH CH IY Z AA N ,0
G IH N IH D AO K ,0
V AH M AH S ER S ,0
AA P L EH K ER V ,0
T AE N EY T ER IY ,0
G Y AE S T IH DH ,0
DH IY B OY T IH T ,0
AE CH ER T UW K OW ,2.557
S AY L AH F OW M ,0
K AO R CH IH R B ,0
ER S P ER F AE R ,0
P AY T AA F OY L ,0
IH M EH N AE T UW ,0
AA D AA CH IY EH D ,0
W ER T AO L F ER ,0
AE T AY AE B OY N ,0
JH UW K R EY IH B ,2.092
AA S M AH CH AA JH ,0
CH IY SH AE T UW TH ,2.453
S AO N TH ER IH D ,0
SH AH JH ER S ER CH ,0
W AH V IH N IH G ,0
T W ER D V R CH ,0
M AE F EH ZH ER T ,0
AH G AH K AE G AH ,0
R EY L V ER M T ,2.607
W IH M EY V EH R ,0
N UW N AE Z IH V ,0
IH R CH IY D IH G ,0
P AW R N F OY N ,0
IY K Y AH B R IY ,0
JH AA L S K IH T ,0
G EH D AE K N Z ,0
V AE D R P AW T ,0
AH N UW M B UH SH ,0
EH NG G N AY ER S ,1.747
S UW L ER B AO T ,0
EH P S IY S IY AH ,0
EY P OY ER EY S T ,1.938
P R K ER JH AE L ,0
HH UW AH N K L S ,0
EH G IH N UW P T ,0
W IY T OW K IY V ,0
M ER K OY AA P T ,2.544
HH AW Z IY N AE N ,0
M EH P R T AE DH ,0
HH EY D EY M TH ER ,5.06
D UH L B Y AH G ,2.526
HH W AO L G AA M ,0
AE Z L EH F IY V ,2.703
AA NG K AA B IH CH ,0
AO L OY L V OY K ,1.952
F OW P OY T EH K ,0
D IH M AO G R B ,0
D AW T R P UW Z ,0
SH AE P R IY N TH ,0
L AY B AE T N TH ,2.504
R AE JH UH L OW JH ,2.117
EY P AE D V ER OY ,1.938
IH V AY R G L M ,0
TH EH R K L AO D ,0
K IY F L AW L JH ,0
B L CH UW S AA SH ,0
F AH CH AA F AA B ,0
IH F EY S UW V EY ,0
P AW T UH D AE G ,0
TH AH M ER CH ER L ,0
G AA S K UW B S ,2.263
OW B D V Y AE DH ,0
S N AW Z ER M ER ,0
AE P AE HH AA G OY ,3.209
Z IH S AE R P ER ,0
P L AY ER CH AY D ,2.562
W ER S L JH IY V ,0
L AA V IY AA M P ,0
B L ER G R D AE ,0
D OW P T AH G UW ,0
AE V AH S EY P ER ,0
CH EH N G OW N D ,0
EH N T OY T AY M ,0
IH L Y EH R IY ER ,0
G W AE S OW V AH ,0
B AH B EH D AY S ,0
AH P OY AA L EY G ,2.544
G L UW SH EH SH AE ,0
G AO S L IY Z IY ,0
Y ER S EY Z AE K ,0
SH IY EH N AH DH ER ,0
D ER AE T OY K ER ,0
AH T W OW L OW DH ,2.453
F R AO D AY AE D ,0
W ER G UW M ER L ,0
TH AH JH AA CH EH F ,0
AE JH AH D L ER G ,0
OW B R M R UH G ,2.74
P UW S T IY T IY ,0
EH G R M EY V IY ,0
AE G AY L Y AH L ,2.459
W ER S OY S OY DH ,3.29
P R T UH D L IY ,0
G AH V ER B OW N ,0
Z AY D AO Z L F ,2.121
EH T AE R D ER M ,0
R UW F AA P EY V ,0
NG K L V Y EH L ,0
L AA M ER IY AA D ,0
AE N IY K S AH NG ,0
EH R OY ER EY G AE ,0
B OY S AY L IY CH ,0
N AH T AY L UW K ,0
B OW G EH ZH ER D ,0
B Y AA B IH K AW ,0
M EY V AE F AO N ,0
AE K IH R L IY S ,0
EH DH IH JH IY ER K ,2.703
N AA L IY S AO NG ,0
ER AY AE D ER G IY ,0
W IY OW T ER D EY ,0
EH P UW AH D AE SH ,0
IH G EH R L EY N ,0
OY D R B IY P OW ,4.764
AE K SH ER CH AH M ,0
F OW D IH V UW G ,4.386
M EH S AH CH ER OY ,0
F ER P ER L JH OY ,0
AE G IY L G R AE ,0
P EH K W ER AA CH ,0
S L S OW T IH P ,0
T R IY L AO R K ,0
T AH TH R UW K IY ,0
OW P Y EH M SH IY ,2.607
EY K L Y UH R G ,2.695
S K ER OY N AA SH ,0
Y EH S W EH K S ,0
B L AE P OW B AE ,0
D AA P AH F L V ,0
M ER L OY AE R IY ,0
V OW V AE M AE NG ,0
OW P IH CH AE V EY ,0
SH IY L ER JH AA T ,0
P AH F IY V IH L ,0
AE T AH P EH G UW ,0
T IY OW P AH T OW ,0
F OY ER AY N AE P ,0
AA R L AE L UW D ,0
AA R OY AE M AA F ,0
V OY ER AE N UW Z ,1.952
V EH S OY N AE ZH ,0
EH TH AA V ER L T ,0
OW V AA G Y AO S ,0
T AY N OW N AY DH ,3.29
G OY N G Y EH F ,0
N IH JH AO NG K ER ,0
L UW EH B ER AE P ,0
AA M IY T ER N S ,0
S IY K AA L AW S ,0
P IY K M AY ER N ,0
B IY B IY B S ER ,0
JH UW K AH S UW F ,0
JH ER T EY K AW JH ,2.117
S AA S EY JH IH L ,0
HH AW D OW P IH K ,0
CH IH D ER IH K AW ,0
L EY DH R G IY S ,0
P EH D L D AE Z ,0
V EY M N K EY V ,2.74
B IY T UW D ER S ,0
AH N S L T IH SH ,0
K UW IH T UW AH D ,0
ER AY AH CH IY AE TH ,0
P AE R T UH R CH ,0
L EY G M IH M IY ,0
CH ER OY ER G ER TH ,0
S AY F IH B EY M ,0
T AA CH AE V IH G ,0
M IY CH EH F OW M ,0
ER JH IY AA P EY TH ,2.343
ER B L AA B OW N ,0
S IH R AE G UW G ,0
AE T EH K EH L EY ,0
P IY P AH DH ER CH ,0
IY K AA D UW AH G ,0
N AW T AA T AE JH ,0
B L OW M OW T ER ,0
AA R OW L IY EY K ,0
HH AA F OW K IY P ,0
HH IH G IH D IY OW ,0
G EY T OW L G IY ,0
B OY AH TH ER N Z ,0
AY T R AH F R K ,0
HH IH M UW EH DH ER ,2.436
V EY DH IH T AA Z ,0
EH G IY N UW T UW ,0
D AE L M ER AH NG ,0
EY K IH B OY L CH ,0
W AO N IH K IY V ,0
AA M AY ER AA R D ,0
HH AH K ER TH AH B ,0
F ER IY K AA R M ,0
D EH D ER EH B AE ,0
M ER JH AH CH ER B ,0
T EH T AY ER G AW ,0
F L T R AW T EY ,0
EH D AO L EY S ,0
EH D EH T R EY ,0
L OY K EH L CH ,0
ER K UH G B OY ,5.316
F AH G IY EY L ,0
OW JH AA L AY Z ,2.117
AH B EY L G AH ,0
S N Z AA N S ,0
AE Z EH SH EY N ,4.855
V AA SH AE SH ER ,0
D AH CH EH T AE ,0
G IH ZH IH CH OY ,6.295
G EH M N IH S ,2.74
S W ER T OY Z ,0
T IH N Y AE N ,0
AE D AA L G AW ,0
ER G N IH R UW ,0
V EH Z AY ER G ,0
IH K SH AH L S ,0
N UW P EH K T ,0
G UW D S N OY ,2.824
V EY K AE L CH ,0
TH R L M AA M ,0
T UW S AH SH ER ,0
M ER N F ER TH ,0
T ER K AE F UW ,2.434
IH R UH L S AE ,0
IH V ER JH EY M ,2.152
S AY AH T UH K ,0
HH ER G Y UW Z ,0
ER AY B R UW CH ,2.117
K IY N CH AA P ,0
ER K AW JH AA N ,2.117
L AW JH AH N T ,2.117
EH TH EH ZH ER L ,0
P EH M AH N T ,0
AO N UW D R M ,2.302
N UW P ER AE CH ,0
N AA L D AH NG ,0
M AO L EH M P ,0
M AA B EH L S ,0
EY L D AA K OW ,0
ER G R M AH F ,0
ER CH ER EY B AW ,0
SH M ER CH AH TH ,4.383
